Iteration,SampleCount,S_MASS,S_MASS_Weight
56,54,0.17773584905660378,53
55,135,0.08204545454545459,132
54,82,0.05910714285714284,56
53,36,0.08724137931034483,29
52,27,0.06304347826086958,23
51,116,0.16526315789473683,114
50,90,0.09039240468354429,79
49,132,0.07434108527131783,129
48,141,0.07468750000000002,128
47,213,0.0782291666666667,192
46,178,0.03688311688311689,154
45,54,0.037567567567567586,37
44,1211,0.044407622203811094,1207
43,143,0.09857142857142857,7
42,678,0.0,1
41,3,,
40,2,0.04999999999999999,1
39,3,,
38,1,,
37,7,0.06799999999999987,5
36,28,,
35,3,,
34,13,,
33,15,0.09428571428571432,14
32,13,0.09999999999999999,10
31,55,0.13269230769230766,26
30,6,0.08199999999999989,5
29,8,,
28,5,0.30500000000000005,4
27,13,,
26,4,,
25,61,0.3808474576271187,59
24,8,,
23,2,,
22,1,,
19,1,,
16,1,,
