Iteration,SampleCount,S_MASS,S_MASS_Weight
56,47,0.1260161383025735,46
55,150,0.051964160325367735,140
54,73,0.04367260603286723,55
53,38,0.05359635352105518,30
52,24,0.061358690272882696,21
51,116,0.14850291682586017,112
50,86,0.18717838449346844,73
49,141,0.10489348743718771,132
48,142,0.0912217371894094,132
47,210,0.08406045628333322,193
46,181,0.058404122671049385,158
45,48,0.059715226532309096,35
44,1214,0.029656471671585406,1208
43,145,0.040418291156389195,10
42,675,0.07633439471102133,1
41,3,,
40,2,0.01816676914179627,1
39,3,,
38,1,,
37,7,0.12116762203567433,5
36,28,,
35,3,,
34,13,,
33,16,0.19609645514255566,15
32,11,0.14443740175550096,9
31,53,0.1363898801008849,23
30,8,0.07821140181449143,4
29,8,0.15791812653272885,7
28,5,0.384633740342002,3
27,12,0.3331994155362495,11
26,7,0.2376470679145144,5
25,61,0.1876104107224368,60
24,7,,
23,3,,
19,1,,
16,1,,
