Iteration,SampleCount,S_MASS,S_MASS_Weight
56,53,,
55,144,0.042769393206094686,141
54,73,0.04168625331043548,56
53,38,0.06212500879841322,31
52,26,0.062261361682800324,24
51,117,0.15845731730602414,116
50,80,0.07676723128647317,71
49,140,0.06107843135345743,129
48,148,0.05301798265292216,135
47,202,0.0883470506233806,188
46,185,0.04952180071750579,157
45,50,0.05231253296193716,36
44,1203,0.020292034403830806,1198
43,155,0.03764166011290741,10
42,675,0.021285441183859333,1
41,4,,
39,4,0.21187109939829166,3
38,1,,
37,7,0.07604868667581573,5
36,28,,
35,2,,
34,13,0.07599914803316592,12
33,16,0.137480208543833,14
32,13,0.07923903210301021,10
31,49,0.10938034292402711,20
30,12,0.11828681784310255,5
29,9,,
28,4,,
27,13,,
26,6,,
25,59,,
24,8,,
23,1,,
22,2,,
19,1,,
16,1,,
