Iteration,SampleCount,S_MASS,S_MASS_Weight
56,53,0.1562059487605186,52
55,149,0.10404252885267283,145
54,69,0.08083233032714007,56
53,40,0.06571397922687273,33
52,23,,
51,122,0.1847755100660399,120
50,77,0.20437384686079785,72
49,132,0.12129452217618972,122
48,156,0.09835382305934141,136
47,203,0.11217696211589169,190
46,180,0.08525362357561524,154
45,54,0.06783248872429688,37
44,1195,0.05243813994204759,1191
43,161,0.02843519135310788,9
42,676,0.09432612508820803,1
41,4,,
40,1,,
39,1,,
38,3,0.21312672777744512,1
37,7,0.14720034768747586,5
36,28,,
35,3,,
34,12,,
33,16,0.1800597738774564,14
32,11,0.153486780778629,8
31,57,0.13527817744763232,26
30,6,0.14265225324863426,5
29,8,,
28,4,0.5023027511096295,3
27,13,0.33236234609196413,12
26,7,0.36434070225295884,6
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
