Iteration,SampleCount,S_MASS,S_MASS_Weight
56,52,,
55,143,0.08143884892086334,139
54,77,0.05862068965517241,58
53,37,0.07999999999999997,32
52,23,0.07772727272727271,22
51,115,0.17651785714285714,112
50,84,0.09019718281690138,71
49,136,0.09048,125
48,151,0.07783582089552236,134
47,212,0.08534517771573605,197
46,184,0.04884848484848486,165
45,42,0.04333333333333334,36
44,1199,0.043760469011725305,1194
43,156,0.02857142857142855,7
42,678,0.0,1
41,4,,
40,1,,
39,2,,
38,2,0.1499999999999999,1
37,6,0.03749999999999995,4
36,29,,
35,3,,
34,11,,
33,16,0.09384615384615387,13
32,14,0.098,10
31,52,0.1317391304347826,23
30,8,0.04499999999999993,4
29,9,0.10999999999999996,8
28,5,0.3374999999999999,4
27,9,,
26,10,0.3466666666666667,6
25,64,,
24,3,,
23,2,,
22,1,,
19,1,,
16,1,,
