Iteration,SampleCount,S_MASS,S_MASS_Weight
56,49,,
55,151,0.08211385451171202,144
54,68,0.05937462950476854,54
53,39,0.11342279094685397,30
52,24,0.09212843250059921,21
51,121,0.16697346489286502,117
50,81,0.11962346907866613,73
49,138,0.11540254582808883,129
48,146,0.10067065320303994,133
47,209,0.10766121459900924,193
46,176,0.07628034677388904,153
45,55,0.0752806683044207,37
44,1215,0.06542720380471746,1211
43,140,0.05418812682818554,8
42,677,0.002140648335959283,1
41,4,,
39,3,0.19700792641937698,2
38,2,0.13766531862757514,1
37,5,0.05881983743757924,3
36,30,,
35,3,,
34,12,,
33,15,0.19732716783575388,13
32,13,0.14156448773834007,9
31,54,0.1405577764623671,24
30,8,0.13204596300509974,5
29,7,,
28,6,0.3373151956351038,4
27,12,,
26,6,0.24523184143188098,5
25,56,0.24716655347630656,55
24,12,,
23,2,,
22,1,,
19,1,,
16,1,,
