Iteration,SampleCount,S_MASS,S_MASS_Weight
56,50,,
55,155,0.06102835986687903,149
54,65,0.049850509611027015,56
53,36,0.06594737936861914,29
52,28,0.056132432069866706,24
51,113,0.15796918400428664,112
50,87,0.15346923573433843,74
49,131,0.09901484002140579,123
48,158,0.0825125060516954,139
47,202,0.07788152422847865,192
46,176,0.06259166697146827,152
45,56,0.049548267695958687,37
44,1198,0.026723946932739058,1194
43,159,0.04178434988450073,10
42,675,0.1080489559750426,1
41,3,,
40,2,0.02202395097312132,1
39,3,,
38,1,,
37,7,0.048445532602330574,5
36,28,,
35,3,,
34,11,,
33,16,0.18395442649970825,13
32,14,0.07664517760317979,10
31,52,0.08981223798270593,23
30,9,0.04688515291953843,5
29,8,,
28,5,0.3133802442743545,4
27,12,,
26,6,0.27355304784459245,5
25,63,0.15647532025397826,62
24,5,,
23,3,,
19,1,,
16,1,,
