Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,49,,
55,149,592.0634022828141,142
54,71,2094.8595640701496,55
53,38,620.072819818976,30
52,27,504.3517772517967,24
51,109,479.04290953263643,108
50,84,345.70886555253014,67
49,145,347.2328773692358,130
48,144,303.7095607988203,132
47,213,253.19152674642294,196
46,175,176.25989423386847,156
45,52,312.3208917620518,37
44,1221,502.76203682385733,1216
43,135,446.16908970302893,9
42,604,356.5336839062413,602
41,76,459.92939813124553,3
40,2,551.5950498662849,1
39,3,,
38,1,,
37,6,,
36,24,477.0348570325519,23
35,7,542.2803416618567,2
34,14,814.1037416539853,13
33,14,,
32,13,309.70282942398893,11
31,48,411.57337498164816,47
30,14,338.41859294393686,5
29,8,,
28,5,1911.812821962845,4
27,13,,
26,6,,
25,65,,
24,2,,
23,3,,
19,1,,
16,1,,
