Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,52,,
55,148,372.70026731644646,144
54,71,382.67324470995067,57
53,34,359.04549603726804,28
52,27,332.6827733982346,22
51,118,461.7744205689971,115
50,84,463.69919890791215,74
49,132,421.13509699144,124
48,148,462.8933387975649,130
47,221,437.68952263853623,202
46,168,533.8354217076892,155
45,56,437.47116954167575,40
44,1195,328.62215926333243,1193
43,157,541.871887661968,8
42,610,337.3634738063064,607
41,72,342.78185327984636,4
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,162.76398112784415,3
34,11,,
33,13,233.53058238481248,11
32,15,489.7735203514434,10
31,52,298.1177427375229,50
30,11,272.4352187701134,5
29,9,,
28,4,,
27,12,,
26,7,2693.7255638914453,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
