Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,51,307.10528,50
55,151,248.26197931034483,145
54,72,308.59583965563627,59
53,33,246.9528200202681,29
52,28,249.5534132073548,24
51,118,218.16442883532756,117
50,83,377.29307341693067,75
49,141,338.0834587823999,134
48,135,312.02273388599974,127
47,219,247.73283195869632,197
46,179,173.35516250396194,161
45,48,293.27831743654144,38
44,1195,497.9404741205215,1191
43,161,476.95855152074535,10
42,596,354.7840933385862,595
41,84,456.86206253980106,4
40,1,,
39,2,,
38,1,,
37,8,450.49390386481593,7
36,26,,
35,5,549.7678527862963,3
34,11,,
33,17,490.9725556396215,15
32,13,288.8931558156123,12
31,50,,
30,11,336.17989271722354,5
29,9,,
28,4,,
27,12,,
26,7,2569.8995738969265,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
