Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,54,305.73901886792453,53
55,146,245.12502714234918,143
54,76,310.4121096944273,61
53,33,269.27741684571623,31
52,24,241.86492142777325,22
51,115,212.0933288859789,112
50,88,392.24864884117636,75
49,128,344.13613286711103,121
48,154,322.1658752932565,133
47,207,255.54009495775077,191
46,178,178.006003862346,154
45,56,298.72748499224707,39
44,1201,494.05946408718523,1198
43,154,479.188798237819,10
42,613,359.04801285739006,612
41,67,464.8205660907364,4
40,1,,
39,2,,
38,2,173.15430504814543,1
37,6,,
36,26,459.99260475932056,25
35,6,557.2133267068758,3
34,11,,
33,15,505.77947364281914,13
32,13,291.75347737418844,10
31,53,387.8457760448361,51
30,9,287.0667843180004,4
29,10,429.8918590797422,9
28,3,,
27,14,713.4910061713017,13
26,5,,
25,64,2878.0481055280898,63
24,4,,
23,3,,
19,1,,
16,1,,
