Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,50,280.58220408163265,49
55,150,234.68943038779403,143
54,74,306.95083110827164,59
53,34,287.160294438325,30
52,26,247.20536877844623,23
51,108,208.81339243796896,106
50,98,386.6693834814036,79
49,133,337.09916308864064,130
48,144,317.3057467747182,132
47,212,249.68702231519512,195
46,169,174.3135050956716,149
45,61,289.8918850395444,39
44,1226,497.8659833004308,1223
43,130,464.0058998038578,11
42,589,,
41,90,460.23645736808453,4
40,1,,
39,3,,
38,1,,
37,5,,
36,25,488.7575476737374,23
35,8,552.3828350902053,3
34,10,,
33,17,489.53903845027156,14
32,14,290.6430458594199,12
31,51,,
30,10,335.4166773334765,5
29,9,,
28,4,,
27,12,,
26,6,2642.195736537756,5
25,61,2574.653938628588,60
24,7,,
23,3,,
19,1,,
16,1,,
