Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,50,287.1198477708881,49
55,150,193.43818784945873,143
54,71,189.55938787947176,56
53,40,126.8353601329835,33
52,25,,
51,107,,
50,89,240.4231791717275,71
49,140,115.9924096299039,129
48,149,170.31420423691776,136
47,206,110.74919494791251,193
46,173,138.85034107939498,151
45,59,166.97122657082159,39
44,1213,218.2663792632148,1210
43,142,237.04143557548292,10
42,608,168.7963999467979,607
41,71,184.33502153334425,3
40,2,275.82431482934663,1
39,3,,
38,1,,
37,6,,
36,27,195.82624895556523,26
35,5,119.17297608480095,3
34,11,,
33,16,178.9920531270854,14
32,13,403.22943239492497,11
31,51,137.80199227619278,50
30,11,124.26186041642185,5
29,6,,
28,6,2522.25841085405,3
27,12,999.0266313429721,11
26,8,2945.576638393648,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
