Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,49,,
55,141,581.0374338958247,134
54,76,1403.0932367855867,52
53,43,344.8945775260485,32
52,20,161.45597769814515,19
51,120,4599.550595019582,114
50,81,905161878970.9413,70
49,145,27260.590273267735,133
48,142,6485.986430812084,133
47,215,129062.34607588107,199
46,165,738505.2072438704,149
45,60,4157254.9233427495,38
44,1217,6145977.965719384,1213
43,138,1017391.3280019565,9
42,609,3855554.0128966486,607
41,72,2210917564.5703535,4
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,230154.0806909128,3
34,12,,
33,17,4539458.91478848,16
32,9,,
31,51,79940109.65162952,48
30,13,73731669.55047128,5
29,6,,
28,7,38344124.767243415,4
27,13,,
26,6,,
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
