Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,49,321.71708333333333,48
55,146,352.22658621446004,138
54,72,378.2784599159321,52
53,42,183.24563987224715,31
52,26,250.72174975754444,24
51,110,262.0999056036604,109
50,90,288.66230769059075,74
49,138,183.31711681656307,130
48,145,210.00966779156468,133
47,210,274.4611704932406,194
46,172,455.35612360172314,151
45,59,350.73358635745024,39
44,1215,324.82030096981646,1212
43,138,487.65781661376366,8
42,613,335.14929560313556,610
41,69,240.93271641951657,4
40,1,,
39,3,,
38,1,,
37,6,,
36,26,318.87644606754355,25
35,6,134.92542361554632,3
34,12,,
33,14,312.00508739604476,13
32,13,478.63511412926283,10
31,55,299.4802520063336,53
30,8,106.37404336023845,5
29,7,,
28,6,2131.3851469203482,4
27,11,,
26,8,2949.980527981907,6
25,63,,
24,4,,
23,3,,
19,1,,
15,1,,
