Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,51,335.57540000000006,50
55,144,350.0551560203353,138
54,74,368.0163031135791,54
53,39,271.3529454153983,30
52,22,301.95795557320804,19
51,114,366.06084762345586,108
50,98,361.2476645109737,81
49,126,191.46199586968388,125
48,157,186.27814610156102,140
47,201,291.16313326245387,192
46,174,417.4776151359694,151
45,56,346.06554638636976,36
44,1223,296.65189145021054,1217
43,135,471.98013353415917,10
42,606,330.5356043218099,605
41,74,248.11852357367638,4
40,1,,
39,3,,
38,1,,
37,6,,
36,23,314.97397765844204,22
35,9,57.443425409060325,3
34,13,,
33,15,,
32,11,365.21182716155096,10
31,50,279.654546415173,48
30,13,157.32432784234072,5
29,8,,
28,5,2074.346565285524,4
27,13,,
26,6,,
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
