Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
58,68,,
57,165,528.5957456411991,162
56,90,410.8108925002725,73
55,51,426.3210627304518,43
54,36,393.15112279018604,28
53,139,296.3984645975292,136
52,145,1359363.8232068957,129
51,202,136.29850500371884,186
50,213,214.55831726718958,182
49,255,161.47054362391427,235
48,198,257.8834683783699,167
47,61,381.6439168919621,41
46,1253,769.5087987697507,1244
45,140,438.573168610515,10
44,620,784.9195608101717,618
43,62,106.5658426406098,3
42,2,9.776732154663657,1
41.0,3.0,,
40.0,1.0,,
39,8,,
38,31,880.8695811679759,29
37,4,15.119992476581272,1
36,16,1502.8986797441505,14
35,21,92.14659524567514,18
34,17,420.12336492201297,13
33,58,396.06215624135683,57
32,11,406.1197310836188,6
31,16,159.93711184131467,15
30,11,967.7570623160572,10
29,18,721.7738225984046,17
28,11,2843.7459426938235,10
27,77,3860.0804939803165,75
26,11,44.72244269890142,2
25,6,158.68279682781002,2
21.0,1.0,,
20.0,2.0,,
19.0,1.0,,
18.0,1.0,,
