Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,53,,
55,145,221.74415492957746,142
54,71,149.09781818181818,55
53,38,81.43433333333334,30
52,28,99.4452,25
51,112,,
50,89,80.35526315789474,76
49,141,38.373555555555555,135
48,137,67.43338461538461,130
47,215,42.621275510204086,196
46,177,61.05183544303798,158
45,44,104.73096774193549,31
44,1214,197.3029093931837,1203
43,150,179.68181818181822,11
42,597,,
41,81,2.3900000000000006,3
40,2,10.520000000000001,1
39,3,,
38,1,,
37,6,,
36,27,161.0176923076923,26
35,5,11.959999999999999,3
34,13,,
33,15,,
32,13,190.12416666666667,12
31,53,,
30,7,72.08749999999996,4
29,8,201.35714285714286,7
28,6,1908.3725,4
27,10,,
26,9,2873.866666666667,6
25,58,,
24,9,,
23,3,,
18,1,,
16,1,,
