Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,50,617.8535960686592,49
55,150,201.59668772302626,143
54,70,203.3344332592521,55
53,41,223.03550955083338,33
52,22,,
51,117,131.80902863953824,114
50,85,317.9327432933683,74
49,139,148.29654855566378,131
48,131,199.8395245148556,120
47,226,93.04879652143535,197
46,173,99.72357852896913,155
45,50,147.42445593280718,34
44,1218,227.4072179000201,1210
43,142,163.99198417950896,10
42,605,130.33726954571392,604
41,75,429.5294278603476,4
40,1,,
39,2,,
38,2,149.47235366115837,1
37,7,,
36,25,,
35,6,183.03924319681502,3
34,12,,
33,15,102.4579815471901,14
32,13,414.0856765201886,11
31,51,111.17357159883227,50
30,11,141.0597566106667,5
29,8,,
28,5,1946.9344895590257,4
27,13,,
26,6,,
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
