Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,54,324.4476603773585,53
55,142,242.12989708572127,139
54,73,326.5795283032421,54
53,40,274.22360703099343,31
52,24,254.74791128267177,22
51,113,209.5549119227214,110
50,90,374.86731236875147,75
49,130,342.9700378043227,123
48,153,319.73963914506265,134
47,208,252.3348381192509,193
46,178,174.1506335282346,156
45,55,296.3829675321505,40
44,1212,509.8781734116697,1210
43,140,504.03375064647634,8
42,612,358.0026537284581,609
41,70,469.0220263316505,4
39,3,421.4733424561347,2
38,2,177.51805878414433,1
37,6,,
36,26,500.134168944963,25
35,5,562.0295679523842,2
34,14,819.1327400125492,13
33,14,,
32,13,313.98067089196195,11
31,52,387.3418189849297,51
30,9,284.6768018355632,4
29,8,437.657039165387,7
28,6,1900.905,4
27,9,,
26,10,2561.907130495794,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
