Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,49,468.12873714706956,48
55,150,271.68865144830755,142
54,69,278.755595217357,53
53,42,398.2229891119092,32
52,23,300.7933551720923,22
51,119,324.03423576298775,116
50,81,460.0731506319148,72
49,141,204.11434931738088,131
48,151,299.5220530308899,140
47,205,142.78836673706374,196
46,175,213.21317614914162,156
45,52,251.3102663504886,37
44,1214,340.2352816610893,1209
43,143,150.4441101973699,10
42,598,237.23543047077763,597
41,82,250.8924062592311,4
40,1,,
39,2,,
38,2,12.818525441646102,1
37,6,,
36,27,242.15636896499092,26
35,5,442.5058993095738,3
34,12,,
33,15,258.6111936752324,14
32,12,404.80708740006526,10
31,50,180.2394379976994,48
30,13,251.71398428573664,5
29,8,,
28,3,990.4072456720979,2
27,15,1098.697528153683,13
26,4,,
25,62,2423.4431098062378,60
24,7,,
23,3,,
19,1,,
15,1,,
