Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,50,,
55,150,828.4598253089052,144
54,63,1085.7976618127225,49
53,45,983.2416137479016,31
52,27,614.3690064824983,25
51,110,,
50,92,6995908275.407489,77
49,133,21889.576603989408,128
48,144,1242.533696540575,130
47,213,314.04272649188897,194
46,178,19892.659971505505,157
45,50,584.7603748888914,36
44,1218,402.8987797338539,1212
43,139,485.42119200420933,9
42,603,349.278963703017,601
41,78,378.025784720733,4
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,449.92386253650693,3
34,11,,
33,18,545.0286460010723,16
32,12,,
31,50,,
30,9,480.1200536611006,3
29,11,384.5650925794409,9
28,3,,
27,14,743.3943808259147,13
26,5,,
25,59,2830.703487565201,58
24,9,,
23,3,,
18,1,,
16,1,,
