Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,49,,
55,152,353.5681140477752,145
54,65,355.7664367039787,52
53,40,382.1782754032083,29
52,28,396.53182897515893,24
51,116,454.39682109014706,115
50,89,619.9379807310856,79
49,129,486.7418616805073,126
48,150,486.7626634843968,134
47,210,471.36889547363893,195
46,174,530.5799012045376,154
45,52,449.0438421069435,35
44,1209,305.970011057858,1202
43,149,556.2648993636767,9
42,601,356.89395103094176,599
41,80,437.5886931020319,4
40,1,,
39,3,,
38,1,,
37,7,,
36,23,,
35,8,273.7852644920818,3
34,12,,
33,17,281.74706254327316,16
32,12,,
31,52,,
30,9,269.49365030259406,5
29,9,,
28,4,,
27,12,,
26,6,2096.9431225206313,5
25,63,2003.4925888157231,62
24,5,,
23,3,,
19,1,,
16,1,,
