Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,51,337.9574,50
55,148,386.35223207209384,142
54,72,340.50593398211424,56
53,39,387.0159983316268,32
52,24,418.3462184646604,23
51,112,461.4944236476124,110
50,89,618.2563028097627,74
49,134,469.48713977871734,126
48,151,478.9307265512583,135
47,211,439.56315517958456,197
46,171,519.0402292614734,153
45,54,404.52164412847014,36
44,1201,321.6576177413616,1195
43,157,505.043294427849,10
42,618,354.8840192418233,617
41,61,475.88487333483965,3
40,2,361.84064586516627,1
39,3,,
38,1,,
37,7,,
36,21,,
35,10,214.7591596217966,3
34,12,,
33,16,224.5127789264642,15
32,12,527.331356848126,11
31,51,310.47531622903387,50
30,11,285.3632202523548,5
29,8,,
28,5,2004.000508963048,4
27,13,,
26,6,,
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
