Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,57,329.58750000000003,56
55,142,,
54,72,380.00386329125365,56
53,39,354.62288885313444,32
52,21,322.32919950765955,20
51,123,450.8201019967579,118
50,79,439.043161779721,72
49,140,459.36229385072875,130
48,145,477.81830753584217,133
47,200,430.5669978604401,184
46,191,552.7490855847531,160
45,45,442.63274285136447,34
44,1200,340.50835658200185,1192
43,159,512.474606648145,9
42,624,335.26442069049335,622
41,57,307.80255589705655,4
40,1,,
39,2,,
38,2,747.4918387745693,1
37,6,,
36,28,348.8194801096937,27
35,4,252.96233544140514,3
34,13,,
33,13,,
32,14,480.10340583152845,11
31,46,306.1416696566608,45
30,16,271.7509075345727,5
29,6,,
28,7,2030.3088870730749,4
27,12,,
26,6,2080.448696699243,5
25,63,2063.0772368743965,62
24,5,,
23,3,,
19,1,,
15,1,,
