Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,53,613.8399201349147,51
55,148,344.32091864206797,143
54,70,272.89488740053764,55
53,36,344.6558066633189,28
52,30,231.05102706779908,25
51,110,,
50,93,1533.8555410945607,78
49,127,213.01065353468044,123
48,158,249.74622202838722,139
47,197,146.69668280636745,187
46,182,182.2363885611116,154
45,56,317.51937189305755,39
44,1209,275.4984829802979,1206
43,145,249.11717237925902,9
42,607,189.0336558980032,605
41,73,604.7413268576307,3
40,2,321.0635989207487,1
39,3,,
38,1,,
37,4,,
36,29,224.8763576807588,26
35,4,147.9127959012554,2
34,14,406.06482208664886,13
33,16,,
32,11,,
31,54,140.9205746489688,53
30,7,295.1108916924442,4
29,10,329.27587067696464,9
28,4,,
27,12,,
26,6,2854.586228957506,5
25,62,2082.648647708023,61
24,6,,
23,3,,
19,1,,
16,1,,
