Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,52,617.5092562134703,51
55,151,663.307469756022,146
54,71,298.73710922767185,59
53,36,222.27941396395343,32
52,26,215.96392871014635,25
51,115,,
50,81,569.0252276907692,71
49,138,373.51454235150044,127
48,149,231.52439398374185,134
47,201,203.74132886109786,186
46,180,162.20415106198743,151
45,60,279.85577138457506,40
44,1222,292.9500067329875,1220
43,130,186.8147939510364,8
42,600,186.3536850755282,597
41,82,757.0444250986718,4
40,1,,
39,3,,
38,1,,
37,5,,
36,24,231.27587435844697,22
35,8,62.78473752395599,2
34,13,472.3024333182844,12
33,15,264.8142473143771,14
32,12,205.86485861703946,10
31,52,166.69134500926805,50
30,11,168.3765889339187,5
29,9,,
28,4,,
27,10,,
26,9,2602.403331370714,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
