Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,54,,
55,152,360.8738033133278,150
54,64,343.8922477179353,56
53,38,254.184831279536,31
52,24,353.9454253492511,22
51,112,268.2820960700029,109
50,93,355.8113341535232,77
49,126,234.6749692679877,121
48,157,277.4196034249448,136
47,198,162.51482249268093,185
46,187,178.7477332536759,157
45,50,234.9740328573818,36
44,1211,318.52766329511405,1205
43,146,170.5293404636873,9
42,609,225.7848370484231,607
41,71,922.1697597113294,3
40,2,372.8402603398685,1
39,2,,
38,2,285.79679506103986,1
37,7,,
36,25,,
35,6,364.9059745592972,3
34,13,,
33,13,,
32,15,625.966720606908,12
31,51,,
30,10,203.2139574997338,5
29,8,,
28,3,1029.1988375042786,2
27,13,1170.4000943462952,11
26,8,2446.124293650579,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
