Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,50,,
55,146,342.2472212551098,140
54,78,446.0649114680295,60
53,31,235.32984110813865,28
52,29,309.7917807455961,24
51,108,280.9878375341624,107
50,89,272.68230175579805,71
49,140,172.92364462171432,129
48,146,198.71466844149575,133
47,216,268.2313912390457,200
46,163,441.67881233067607,148
45,55,341.4199115800492,32
44,1222,328.709838310446,1212
43,141,426.1744640949777,11
42,606,,
41,73,136.24819656292976,4
40,1,,
39,3,,
38,1,,
37,6,,
36,23,343.3516010259112,22
35,8,33.91741763433682,2
34,13,308.23916778912553,12
33,16,281.92520500486313,15
32,12,445.63377553617926,11
31,53,309.17019288033237,52
30,9,179.35251310129215,5
29,9,,
28,4,,
27,11,,
26,8,2888.278985936678,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
