Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,49,,
55,153,184.62723487238384,146
54,66,214.6302288983146,54
53,38,123.18403920459608,29
52,26,112.30109272727823,22
51,111,115.94293385026559,108
50,93,225.4307062217735,76
49,132,116.33887390277673,126
48,144,168.8538131350833,128
47,216,108.99397940312929,195
46,179,133.5447780293694,159
45,50,170.1940915634943,38
44,1217,221.76063037765783,1213
43,140,223.2764780009033,11
42,603,,
41,74,156.2095446116606,2
40,2,,
39,4,111.70150788712407,3
38,1,,
37,7,,
36,25,,
35,6,149.9226143078017,3
34,13,,
33,16,,
32,11,,
31,51,152.35233878826077,50
30,9,173.9014845392274,3
29,9,272.176514495682,7
28,5,2536.9564477926665,3
27,13,832.4231442322462,12
26,5,3441.8507178075733,4
25,63,2214.8226178834725,61
24,6,,
23,3,,
19,1,,
16,1,,
