Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,49,,
55,153,179.29921409067236,146
54,72,206.53325254374553,60
53,31,126.07609211321085,28
52,29,122.70134006117938,24
51,112,115.82063488694577,111
50,86,307.0948570277374,72
49,142,133.53558705625744,132
48,147,165.6367809461581,137
47,206,112.87647120126631,194
46,174,135.74188895625343,153
45,57,168.1196962642468,39
44,1196,220.76448707811048,1193
43,160,221.78674755904544,11
42,605,,
41,74,159.4666006998049,4
40,1,,
39,2,,
38,2,249.33158540896346,1
37,7,,
36,26,,
35,5,104.39526066577801,3
34,12,,
33,16,175.73151186767305,15
32,12,469.42502158239944,11
31,50,148.7407184104865,49
30,12,146.3254336740674,5
29,8,,
28,4,2613.976362102473,3
27,12,1009.4592811686614,11
26,6,2310.670768581382,4
25,64,2343.63232138735,62
24,5,,
23,3,,
19,1,,
16,1,,
