Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,52,335.8928,50
55,148,350.5928844446631,142
54,75,375.30113911571766,59
53,35,239.94647615473886,31
52,26,302.55209340642864,24
51,113,275.5652183898785,112
50,84,287.25903731932794,71
49,136,188.97969287045743,125
48,147,200.8596491625897,130
47,211,286.6974289492309,192
46,173,421.55614737298265,150
45,59,353.03423693888936,38
44,1218,313.6132184025611,1214
43,136,491.4771628019443,8
42,618,296.55390825412974,615
41,63,220.74964789293364,3
40,2,260.24065926852273,1
39,3,,
38,1,,
37,6,,
36,25,287.4339465799182,24
35,7,122.21368963970744,3
34,13,,
33,12,,
32,15,455.4415329698396,11
31,48,308.8650703840481,47
30,14,98.89505859783905,5
29,7,,
28,6,2115.649386802579,4
27,12,,
26,6,3247.9163048271303,5
25,63,2052.376313686102,62
24,5,,
23,3,,
19,1,,
16,1,,
