Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,49,,
55,154,252.29831922135438,147
54,67,212.46497237657564,56
53,37,180.88817232861103,30
52,26,279.46353468369136,23
51,118,129.0255393190298,116
50,83,310.63661160001664,74
49,129,217.25951436632644,121
48,158,178.13930950168398,137
47,215,121.93839882373261,203
46,170,103.64697556883415,158
45,47,140.37044698423932,34
44,1197,200.0351588600525,1189
43,162,182.6833971759238,9
42,608,168.23611493016276,606
41,73,81.71453792659582,4
40,1,,
39,2,,
38,1,,
37,8,225.87684998107068,7
36,25,,
35,6,457.4924930460775,3
34,12,,
33,16,185.16539748419382,15
32,12,467.6690538190235,11
31,52,100.81004810945095,51
30,9,96.43323358740406,4
29,9,172.22919372652584,8
28,4,597.087092182244,3
27,12,881.494628924938,11
26,8,3181.9832142327828,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
