Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,50,328.01214285714286,49
55,139,369.6477698008456,132
54,84,370.099417787234,58
53,36,208.27308893340356,31
52,23,290.94914957118857,21
51,110,279.28732648891776,106
50,92,289.7862032310228,73
49,138,184.2942381103456,129
48,147,227.71704567488985,134
47,210,298.0410763055655,195
46,172,468.11568240118794,152
45,57,385.70278242403685,38
44,1219,314.55889648119035,1215
43,137,467.41825815706727,10
42,619,328.23179991798395,618
41,61,179.0421537696789,4
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,57.53199662804618,3
34,10,,
33,16,331.3750035032429,13
32,11,437.03064666966065,8
31,54,302.10242514643977,50
30,11,138.13940924620644,5
29,8,,
28,4,2586.204877074912,3
27,13,976.2454562233971,12
26,7,2989.9609864926274,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
