Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,47,338.7051739130435,46
55,157,257.34406619570905,147
54,69,323.39456568476896,58
53,36,278.7571546842453,31
52,24,243.12437485574844,22
51,113,215.34775943999978,110
50,88,402.5976052854204,73
49,132,350.444216857844,123
48,151,311.4200880100399,132
47,208,256.3602032291443,191
46,176,175.8208243502887,152
45,56,277.435632472469,37
44,1214,500.3862523576783,1209
43,144,466.634027549094,11
42,614,,
41,65,468.9466757347834,4
40,1,,
39,2,,
38,2,177.27166763964584,1
37,6,,
36,26,479.1066888951812,25
35,6,561.4455171429981,3
34,13,,
33,13,,
32,14,307.72042158017587,11
31,53,401.9384129229109,52
30,8,410.21500000000003,4
29,9,441.5569879899516,8
28,5,1900.905,4
27,12,,
26,7,2562.2796319406993,6
25,58,,
24,9,,
23,3,,
19,1,,
16,1,,
