Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,53,,
55,144,176.4621985815603,141
54,72,156.52345454545454,55
53,38,163.64733333333336,30
52,27,105.56124999999999,24
51,115,145.15684210526317,114
50,83,521.1048611111111,72
49,139,53.68124031007752,129
48,145,66.7360606060606,132
47,210,38.44430051813472,193
46,177,62.28929032258065,155
45,53,136.5789189189189,37
44,1213,383.17546357615896,1208
43,143,98.06777777777779,9
42,601,148.73469115191986,599
41,80,25.39,4
40,1,,
39,2,,
38,2,154.90000000000003,1
37,7,,
36,25,,
35,6,2.633333333333333,3
34,9,,
33,20,72.43124999999999,16
32,12,,
31,52,,
30,9,93.76600000000002,5
29,8,,
28,4,2527.6233333333334,3
27,13,797.2516666666667,12
26,6,2995.206,5
25,63,2058.625483870968,62
24,5,,
23,3,,
19,1,,
16,1,,
