Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,51,,
55,144,214.57300186411445,139
54,75,207.1825148378662,56
53,37,148.08880857421536,30
52,24,169.9675704676832,21
51,115,118.86203312925686,111
50,85,357.862122814356,71
49,143,193.5070779629683,132
48,144,196.54623932303485,134
47,219,110.22952667999873,204
46,163,96.77782839281714,152
45,56,118.0205712980468,37
44,1210,96.88565740129758,1205
43,147,73.35009992184294,10
42,604,132.648186253617,603
41,76,333.0483242755922,4
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,65.97752430861622,3
34,12,,
33,15,191.87444830696816,14
32,13,513.0699800543857,11
31,50,111.64278694873472,49
30,10,254.853602776295,3
29,11,210.1591461623712,9
28,4,,
27,11,,
26,8,2843.449761011841,6
25,58,,
24,9,,
23,3,,
19,1,,
16,1,,
