Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,50,432.2534693877551,49
55,152,192.6388275862069,145
54,68,143.7970909090909,55
53,40,135.518125,32
52,26,135.1864,25
51,117,,
50,82,87.91864864864866,74
49,136,67.06015624999999,128
48,149,75.60600000000001,135
47,212,43.846717171717174,198
46,170,69.78692810457517,153
45,56,143.74894736842106,38
44,1200,291.5878260869565,1196
43,156,222.29500000000002,10
42,606,146.58829752066117,605
41,74,2.3900000000000006,4
40,1,,
39,3,,
38,1,,
37,6,,
36,23,206.57954545454544,22
35,7,7.349999999999998,1
34,12,257.99499999999995,10
33,19,69.48375,16
32,12,,
31,51,,
30,10,207.62800000000001,5
29,9,,
28,4,,
27,12,,
26,7,2830.326666666667,6
25,56,,
24,11,,
23,3,,
19,1,,
16,1,,
