Iteration,SampleCount,S_DISTANCE,S_DISTANCE_Weight
56,50,,
55,152,240.2817808219178,146
54,70,118.92,58
53,34,102.31896551724138,29
52,22,134.98166666666665,18
51,116,135.37183486238533,109
50,90,94.42905405405405,74
49,137,70.08496124031008,129
48,144,70.91129770992366,131
47,205,40.068021390374334,187
46,182,79.95993506493507,154
45,50,142.57575757575756,33
44,1225,316.0368092105263,1216
43,137,102.47636363636364,11
42,612,,
41,66,12.5,3
40,2,18.729999999999997,1
39,3,,
38,1,,
37,6,,
36,27,143.3442307692308,26
35,5,13.196666666666669,3
34,12,,
33,16,71.12066666666666,15
32,13,212.1925,12
31,45,,
30,16,41.984000000000016,5
29,9,,
28,4,,
27,13,,
26,6,,
25,57,,
24,10,,
23,3,,
19,1,,
16,1,,
