Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,49,,
55,148,2.2781618986865003e-14,141
54,73,3.2509709210363064e-14,56
53,35,1.45915026093592e-14,28
52,24,0.0032904303932074627,19
51,112,0.0007956892572064991,106
50,91,3.790915180070638,72
49,138,2.609060858522802,128
48,144,3.6923725297585808,130
47,211,2.48917637452293,192
46,180,1.5326490914012953,157
45,49,0.9440005551082508,35
44,1219,1.2575016937096135,1213
43,140,0.0749455837616921,10
42,618,0.12228494899323065,617
41,62,13.134020753055006,4
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,7,,
36.0,24.0,,
35,7,0.20737995633612213,3
34,10,,
33,17,1.577789073523139,14
32,12,2.3007334527011007,10
31,52,3.1340887637018975,50
30,11,3.6350764854480064,5
29,8,,
28,4,0.7142557681554739,3
27,14,0.35499471292338997,13
26,5,,
25,62,3.5657126424122128,61
24,6,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
