Iteration,SampleCount,S_MAG,S_MAG_Weight
56,54,2.099140791799652,50
55,146,1.7864503726170387,136
54,76,1.3929922617880903,48
53,32,1.4919814753859246,22
52,28,1.312197843018943,14
51,111,1.3316937180729713,110
50,86,4.41728553587999,59
49,136,2.460504098609888,125
48,151,1.9879492507366265,131
47,211,1.5785812697513648,194
46,169,1.5956287908187101,150
45,60,1.221812122340416,38
44,1210,1.0722660287213206,1208
43,143,0.7709926097721942,8
42,618,0.9526779444183873,615
41,63,0.896772659230054,3
40,2,0.5508168025253717,1
39,2,,
38,2,0.11120576241520652,1
37,6,,
36,28,0.9297349507998756,27
35,3,0.24973356255690904,2
34,14,2.6935852641609856,13
33,14,1.4481722350584891,13
32,13,2.648338603341873,11
31,49,1.1738021958353393,46
30,13,1.7363880951877357,4
29,8,,
28,5,1.6464804409526677,2
27,12,1.087344283876881,7
26,7,3.8026673517641196,1
25,66,3.4133188160407655,18
24,1,,
23,3,,
19,1,,
16,1,,
