Iteration,SampleCount,S_MAG,S_MAG_Weight
56,49,2.7230919938692772,47
55,150,1.0577981524912268,137
54,74,1.1688711755557624,47
53,34,1.845670550904889,23
52,27,1.12484549314371,14
51,112,1.4077637699075807,111
50,87,3.159031930526134,61
49,134,1.9519742219273695,125
48,145,1.9594300279228176,125
47,213,1.6994208827786166,190
46,177,1.6585560789252485,154
45,56,1.5711595146889683,38
44,1210,1.0468822743177975,1208
43,145,1.258103524096974,10
42,614,0.8213892583363139,613
41,66,1.4315652661963933,4
40,1,,
39,3,,
38,1,,
37,6,,
36,27,1.1112910737542616,26
35,5,2.764132721376326,3
34,11,,
33,17,2.1647434211894385,14
32,12,1.35271080874353,11
31,53,1.054269284502869,50
30,8,0.5228285680087422,3
29,10,1.4755868869036024,9
28,2,,
27,14,1.729010250612544,7
26,7,2.752761400135327,1
25,66,2.505459368595199,18
24,1,,
23,3,,
19,1,,
16,1,,
