Iteration,SampleCount,S_MAG,S_MAG_Weight
56,51,2.934573140687018,48
55,149,2.430753395461727,137
54,75,1.3206929855341183,48
53,33,1.688787320290572,23
52,28,0.7746813945900473,15
51,107,,
50,94,4.118993995591382,64
49,132,2.37994206921913,126
48,142,2.3330444488074575,123
47,216,1.6104486790109263,191
46,171,1.4079357060377666,149
45,60,1.0607530214182097,37
44,1214,1.1553293041882928,1211
43,142,0.9577310789530266,10
42,625,0.8919054891129775,624
41,53,0.7068761556947063,2
40,3,2.8999626524869893,1
39,2,,
38,2,0.9597151253358351,1
37,6,,
36,24,0.8988961516589548,23
35,7,1.3481595716312258,2
34,13,2.155854153382049,12
33,16,2.286194568713177,14
32,12,2.0098176372873886,11
31,54,1.1548584620100422,51
30,7,1.6523050999879398,3
29,8,1.359070273481147,7
28,6,1.1211169812644162,2
27,10,1.0997455989873313,5
26,9,2.6011806747741826,1
25,64,3.1240482080574585,16
24,3,,
23,3,,
19,1,,
16,1,,
