Iteration,SampleCount,S_MAG,S_MAG_Weight
56,49,2.950521739130435,46
55,146,1.356257575757576,132
54,79,0.8134680851063827,47
53,34,1.6504347826086958,23
52,25,1.0779166666666669,12
51,115,0.8199285714285713,112
50,91,1.2181515151515148,66
49,123,0.6536554621848738,119
48,162,0.8013382352941172,136
47,202,0.6681526315789472,190
46,174,0.7608940397350993,151
45,60,0.8828974358974363,39
44,1212,0.7150734929810076,1211
43,143,0.3601818181818183,11
42,612,,
41,67,0.10050000000000026,4
40,1,,
39,2,,
38,2,0.3760000000000012,1
37,7,,
36,21,,
35,10,0.3433333333333343,3
34,12,,
33,15,1.3493076923076917,13
32,14,1.2425833333333338,12
31,51,0.3500408163265306,49
30,10,0.6700000000000008,4
29,8,,
28,5,0.7659999999999991,2
27,13,0.9053750000000012,8
26,6,2.5600000000000005,1
25,65,1.7871764705882354,17
24,2,,
23,3,,
19,1,,
16,1,,
