Iteration,SampleCount,S_MAG,S_MAG_Weight
56,52,2.6006590570844796,50
55,147,1.9832694532920736,137
54,72,1.9691722157535765,45
53,37,1.392975143250078,24
52,26,5.879380233213836,14
51,119,5.182301853822362,118
50,81,1715737049.933625,62
49,130,123.22815737721618,122
48,151,66.73539934709898,128
47,210,67.11466079093393,190
46,175,12306.813154404741,152
45,54,41594.59458875497,34
44,1212,1090.201986362289,1206
43,147,1181.0235108769846,10
42,621,1375.4677713087676,620
41,58,526.6262855036567,3
40,2,2797.993896732272,1
39,3,,
38,1,,
37,6,,
36,26,1857.795655262882,25
35,6,882.7849739275235,3
34,11,,
33,14,1012.97063711644,11
32,16,1715.3965759901068,12
31,47,1601.1516968922128,45
30,14,612.076909977758,4
29,7,,
28,5,464.9558573071189,1
27,14,2094.690285326813,8
26,6,1940.9285203247985,1
25,65,1427.6886024020296,17
24,2,,
23,3,,
19,1,,
16,1,,
