Iteration,SampleCount,S_MAG,S_MAG_Weight
56,53,2.568548381299387,50
55,146,2.0448788886076823,136
54,75,22.520767163843825,47
53,33,1.2742778059358457,22
52,29,9.99181936033753,15
51,109,,
50,91,3120676424.964534,63
49,138,16.134812555014864,131
48,148,3.151336033335688,134
47,206,2.0072302229948598,192
46,172,2.0512641693045888,151
45,56,4.786361199095575,35
44,1210,3.8011665351106942,1205
43,148,3.188868253902795,10
42,604,4.23785377396107,603
41,75,0.7539638727423436,3
40,2,2.1754501306409573,1
39,3,,
38,1,,
37,7,,
36,23,,
35,8,3.9358658487225497,3
34,13,,
33,15,5.390748481997752,14
32,13,2.3314200910999827,12
31,54,3.762653455990459,52
30,7,2.770213280164768,4
29,8,,
28,4,3.9131215395436634,1
27,14,1.369679421980191,8
26,6,3.563506078327789,1
25,63,4.744303752816752,15
24,4,,
23,3,,
19,1,,
16,1,,
