Iteration,SampleCount,S_MAG,S_MAG_Weight
56,53,2.04006862745098,51
55,148,1.2047284477502744,139
54,71,1.5940670614704928,46
53,38,1.3174086131695517,26
52,24,0.9574589204736424,14
51,104,1.5210020891151828,103
50,99,3.8046074337676172,65
49,134,3.62681098114678,129
48,144,3.2332902577549913,128
47,201,2.7364133190965627,181
46,181,2.338296140062862,149
45,59,3.145274696983609,36
44,1238,3.1893699231079027,1234
43,118,1.40121497951223,9
42,599,1.7096682507636551,597
41,82,4.157324865336053,4
40,1,,
39,2,,
38,2,1.291037986457388,1
37,6,,
36,28,1.6296777458359204,27
35,3,3.3518221997133466,2
34,14,3.5970060466514946,13
33,15,5.530753097038499,14
32,12,2.447702120483917,11
31,50,3.115374932301121,47
30,11,2.999672401759685,3
29,9,2.8222981318849776,8
28,4,1.6387347820325253,1
27,13,1.238956706365251,7
26,7,1.6871782172352017,1
25,64,1.5855437332510864,16
24,3,,
23,3,,
19,1,,
16,1,,
