Iteration,SampleCount,S_MAG,S_MAG_Weight
56,49,3.044205555555555,45
55,150,1.4041206149545777,135
54,76,1.38323795021684,47
53,35,1.4125892889346177,24
52,24,1.3076465738314724,12
51,113,1.4351948658148144,110
50,90,3.927206158190077,63
49,137,3.613072696722269,130
48,141,3.1832511746456063,126
47,211,2.7581651811699666,189
46,176,2.4195101368477934,152
45,54,2.9707618136938274,34
44,1225,3.2792065925450915,1219
43,134,1.6408,10
42,611,1.751694881193825,610
41,69,4.1191140041335625,4
40,1,,
39,3,,
38,1,,
37,4,,
36,29,1.6911290011115048,26
35,4,3.3154802338974374,2
34,13,3.293831836873546,12
33,17,5.4924407860745905,15
32,10,,
31,53,3.2141386060377313,49
30,9,2.3257782976034105,3
29,10,2.5660969388344808,9
28,4,1.680606561476191,2
27,13,1.2215242978232062,8
26,6,1.7288443346536297,1
25,65,1.5660888583560832,17
24,2,,
23,3,,
19,1,,
16,1,,
