Iteration,SampleCount,S_MAG,S_MAG_Weight
56,54,2.893271582188915,50
55,148,2.437722659671283,138
54,71,1.489110289540118,45
53,37,1.6466215731166254,24
52,24,1.202868792350078,12
51,109,1.5922796041980383,106
50,92,5.141476728084271,61
49,137,2.092550783529941,128
48,144,1.7508817450975482,127
47,211,1.5144080979108554,190
46,179,1.4961910334575497,156
45,53,1.6116518597931586,37
44,1229,1.0463012364559279,1226
43,127,1.1986766851367756,10
42,606,0.9501568155399398,605
41,74,0.48358344803448405,4
39,3,0.31365372489806287,2
38,2,1.923774129320524,1
37,6,,
36,26,0.7178940347684116,25
35,6,0.5491629820402558,3
34,11,,
33,16,1.3185036998179844,13
32,9,3.0007268084997505,7
31,57,1.0630114217035067,50
30,8,1.865511362895819,3
29,8,1.2967269138194564,7
28,6,1.4738483338557602,2
27,12,1.508275658471421,7
26,7,2.7902900759698603,1
25,64,4.149632317852645,16
24,3,,
23,3,,
19,1,,
16,1,,
