Iteration,SampleCount,S_MAG,S_MAG_Weight
56,49,2.526539216417811,47
55,143,1.2712083119972588,130
54,82,1.1730671465350198,48
53,36,1.1486250354795657,26
52,25,1.517546358581389,15
51,108,,
50,95,1.9525576574344938,66
49,131,2.0311440838993398,127
48,144,1.8592614513400576,126
47,213,1.3658458642854463,191
46,180,1.3318290838803846,158
45,51,1.3739346491889532,37
44,1209,0.9315455577747906,1206
43,145,0.8500706284657562,8
42,615,0.7475432704382232,612
41,67,1.8717933916903422,4
40,1,,
39,3,,
38,1,,
37,7,,
36,22,,
35,8,1.4025577460521799,2
34,12,2.5107398501697378,11
33,17,1.5546102144931748,14
32,12,1.7728531037052209,11
31,53,0.9882142162027602,50
30,8,1.1782139921654704,3
29,10,0.9251772503816449,9
28,4,1.1357855122707248,2
27,13,0.8256158811521126,8
26,6,1.7309598054607154,1
25,65,1.053822772194464,17
24,2,,
23,3,,
19,1,,
16,1,,
