Iteration,SampleCount,S_MAG,S_MAG_Weight
56,51,2.190255102040816,49
55,146,1.187185834957765,135
54,77,1.5415056354967882,48
53,32,1.3157203316733392,22
52,28,1.1575000000000002,14
51,117,1.479788537540522,116
50,82,3.8018725048818607,61
49,133,3.563480476584274,124
48,150,3.259241368905194,129
47,214,2.7337473307513935,195
46,179,2.3019853955764,161
45,47,3.113726951045694,36
44,1200,3.1872296096082864,1196
43,157,1.5486338050990438,10
42,606,1.7681734274193377,605
41,73,4.1182310867565395,3
40,2,2.374484969940207,1
39,3,,
38,1,,
37,6,,
36,26,1.596133302326434,25
35,6,4.058170633492197,3
34,12,,
33,16,5.744666974044347,14
32,13,2.38275,12
31,53,3.1099968384246743,51
30,8,2.6555,4
29,8,,
28,4,1.6805105170117596,1
27,14,1.2212318063637975,8
26,6,1.7292334241569804,1
25,65,1.6349745470840642,17
24,2,,
23,3,,
19,1,,
16,1,,
