Iteration,SampleCount,S_MAG,S_MAG_Weight
56,47,2.856249261218511,45
55,155,1.2124838761122587,140
54,72,0.939981495356647,48
53,33,1.044151037760699,23
52,27,1.0781632563150898,14
51,108,1.2050680798847622,107
50,98,1.7908464348521242,68
49,131,1.8337124073383675,129
48,145,1.641803348586439,129
47,215,1.5736803619804076,196
46,159,1.1786045146631903,142
45,67,1.3623156043741322,37
44,1209,0.9170174128641627,1206
43,147,0.9492410060276806,10
42,614,0.8102158251331876,613
41,66,0.46594652773331724,4
40,1,,
39,1,,
38,3,0.3589562023265156,1
37,6,,
36,25,1.231599127199166,24
35,7,1.5565280689830503,3
34,13,,
33,16,1.872757240399513,15
32,10,,
31,50,1.0873457191716305,46
30,13,1.9534817877008859,4
29,9,,
28,4,0.9224388386882811,2
27,13,1.3019269281483692,8
26,5,,
25,66,2.175840010952208,17
24,2,,
23,3,,
19,1,,
16,1,,
