Iteration,SampleCount,S_MAG,S_MAG_Weight
56,52,2.5979795918367348,49
55,145,0.9140223880597017,134
54,76,1.267173913043479,46
53,37,1.1877199999999999,25
52,23,0.6743333333333338,12
51,116,0.7560530973451332,113
50,86,1.1266129032258065,62
49,134,0.6670079365079364,126
48,142,0.7299024390243901,123
47,214,0.5389735449735449,189
46,180,0.5854935897435899,156
45,48,0.9153125000000001,32
44,1225,0.7060098603122433,1217
43,136,0.5291000000000002,10
42,613,0.4221715686274509,612
41,66,0.847999999999999,3
40,2,0.6999999999999975,1
39,3,,
38,1,,
37,5,,
36,29,0.5118518518518523,27
35,4,1.0599999999999996,3
34,12,,
33,15,0.9259230769230764,13
32,14,0.9738333333333332,12
31,49,0.39474468085106384,47
30,12,1.3485000000000003,4
29,8,,
28,5,0.801000000000001,2
27,13,0.6596250000000012,8
26,6,2.9860000000000024,1
25,65,2.3228823529411775,17
24,2,,
23,3,,
19,1,,
15,1,,
