Iteration,SampleCount,S_MAG,S_MAG_Weight
56,57,1.918927368454446,53
55,140,1.2206528778071817,133
54,73,1.0924547979634092,42
53,40,1.429800736465686,24
52,26,1.4780412639409837,14
51,111,1.1329999610391046,110
50,88,2.8593088322417377,61
49,139,2.1316275265437006,130
48,148,2.027566231922158,133
47,206,1.6001312635166096,191
46,171,1.557694622329368,149
45,56,1.483765421883764,33
44,1217,1.4912806364363718,1210
43,142,0.9125559120917822,9
42,614,1.2912511308965755,612
41,67,2.559662088401409,4
40,1,,
39,3,,
37,8,1.636334739078127,7
36,28,,
35,3,,
34,12,,
33,13,1.6277620747055639,11
32,16,1.2289850467072085,12
31,49,1.0545043047402118,47
30,12,1.4305842854461766,4
29,9,,
28,4,1.2108661630973145,2
27,12,0.9363056337185365,7
26,7,1.2719256516634516,1
25,66,1.5020622127232124,18
24,1,,
23,3,,
19,1,,
16,1,,
