Iteration,SampleCount,S_MAG,S_MAG_Weight
56,52,1.7996407428310681,49
55,153,1.2116002288336878,142
54,69,1.226210426612649,47
53,35,1.6985686076755164,24
52,27,1.4087864100889471,15
51,113,,
50,88,3.493443021017482,64
49,132,2.301279443541803,126
48,148,2.2944197388274814,129
47,207,1.685044335385884,188
46,183,1.5303609958798892,158
45,49,1.3657587639623812,35
44,1205,1.6879849594510437,1200
43,152,0.894920658364162,9
42,607,1.269230621745037,605
41,74,1.7502740387584037,4
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,4,0.2447500914172851,2
34,11,1.4922582635098744,10
33,18,1.854625771564538,14
32,11,1.6120831313019715,10
31,55,1.0249813096595304,51
30,8,2.2165010779695615,4
29,9,,
28,2,,
27,15,0.720973907490879,8
26,5,,
25,67,2.7035757571938173,18
24,1,,
23,3,,
19,1,,
16,1,,
