Iteration,SampleCount,S_MAG,S_MAG_Weight
56,51,2.021359623232665,48
55,151,1.170791071705342,139
54,71,1.1431775573230427,46
53,35,1.4737414040356462,23
52,25,1.2557522693165442,12
51,114,1.1715765980117865,111
50,91,2.9711281462258583,65
49,134,2.136257760262236,129
48,140,2.0417439394576147,124
47,211,1.590386408516541,187
46,180,1.5490849874583401,154
45,54,1.5520118936457623,36
44,1207,1.5848279966026664,1203
43,150,0.8786097729264621,10
42,616,1.3230316945365164,615
41,64,3.398301912153615,4
40,1,,
39,2,,
38,2,0.30626963602351687,1
37,6,,
36,27,1.171658758414576,26
35,5,2.0536718294890215,3
34,13,,
33,15,1.5605756220812022,14
32,12,1.2728173490658181,11
31,52,0.9113976061355377,49
30,10,0.8164252889563217,4
29,8,,
28,4,1.895522679769206,1
27,13,0.7182055370809957,7
26,7,1.60420164995935,1
25,67,1.921581612246477,19
23,3,,
19,1,,
16,1,,
