Iteration,SampleCount,S_MAG,S_MAG_Weight
56,53,2.473269298187641,51
55,142,1.8962987358131884,133
54,77,5.591848549235369,46
53,35,1.358791263936655,23
52,26,1.6929986334774068,13
51,115,2.5307839108360164,113
50,85,259398408.20132634,61
49,137,2704.690142007322,128
48,146,622568.7494066891,129
47,206,658841204.0416741,187
46,184,67557.67019021326,158
45,50,45579.5020282003,36
44,1220,27123.730976089784,1216
43,137,46419.37533097636,10
42,606,199430.8263181599,605
41,74,323196.1520417081,4
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,295355.2466982752,3
34,12,,
33,14,78745.37494113187,12
32,14,116904.48771602125,11
31,51,64993.55005897102,48
30,10,162313.71124066654,3
29,8,210398.41020662847,7
28,6,4157.844872740243,2
27,11,103118.34837901591,6
26,8,51389.56196605412,1
25,64,179923.77628005616,16
24,3,,
23,3,,
19,1,,
15,1,,
