Iteration,SampleCount,S_MAG,S_MAG_Weight
56,51,1.756809494902278,49
55,143,1.2409654768892175,132
54,72,1.2985088777928577,40
53,43,1.4816404627646753,25
52,25,1.019196287454762,14
51,111,1.3438071924357744,110
50,86,3.894222545476723,59
49,142,2.094862101316838,131
48,141,1.9469523829106203,127
47,218,1.531479040788569,197
46,175,1.4285886459020636,159
45,50,1.6879615480410897,37
44,1218,1.3740414526529545,1215
43,135,1.3810958187429956,7
42,613,0.9949874592570026,609
41,70,2.249571274992261,4
40,1,,
39,3,,
38,1,,
37,7,,
36,23,,
35,8,1.4985806822218197,3
34,11,,
33,17,2.5833052598915884,14
32,12,1.7191232354879395,11
31,50,1.36756899412123,47
30,12,2.540513251246029,4
29,7,,
28,6,1.5161540186190496,2
27,12,1.3614114984110122,7
26,6,,
25,65,2.4792601577765905,16
24,3,,
23,3,,
19,1,,
15,1,,
