Iteration,SampleCount,S_MAG,S_MAG_Weight
56,47,1.7332003456408862,45
55,149,1.2660896610020564,134
54,79,1.7472245752190745,49
53,32,2.1054608129097048,23
52,25,1.3935520551320126,12
51,113,1.7247597724683048,110
50,92,3.2126560932115718,65
49,140,2.605426467655508,135
48,143,1.7500812688802274,133
47,208,1.4401455085523143,193
46,179,1.417518425219468,159
45,52,1.2201332455069454,39
44,1212,1.0439302685819367,1211
43,143,0.9967239693872533,11
42,585,,
41,93,1.8156066315931068,3
40,2,3.379836449573423,1
39,3,,
38,1,,
37,6,,
36,25,1.047609526261301,24
35,7,2.274713084734831,3
34,12,,
33,17,1.8568840297986162,15
32,11,,
31,54,1.0501027654024155,51
30,7,1.8269189836955828,3
29,10,1.434550509629139,9
28,4,1.4668960719809245,2
27,11,0.8178964857542965,6
26,8,4.045923206537973,1
25,65,3.1620508706294186,17
24,2,,
23,3,,
19,1,,
15,1,,
