Iteration,SampleCount,S_MAG,S_MAG_Weight
56,52,2.300897959183674,49
55,149,1.0690652173913044,138
54,73,0.9395744680851065,47
53,35,1.1512916666666677,24
52,26,1.245785714285715,14
51,112,0.7285495495495495,111
50,91,1.385953846153846,65
49,128,0.7763414634146341,123
48,148,0.903142857142857,126
47,213,0.616717277486911,191
46,174,0.7359144736842108,152
45,56,0.6457222222222222,36
44,1209,0.7904207468879672,1205
43,148,0.4801999999999996,10
42,615,0.38865309446254076,614
41,64,0.02766666666666732,3
40,2,1.549999999999999,1
39,2,,
38,2,0.41499999999999915,1
37,7,,
36,27,,
35,4,0.8966666666666674,3
34,13,,
33,15,1.3417857142857137,14
32,10,1.2373333333333338,9
31,55,0.4226799999999997,50
30,9,1.1060000000000008,4
29,7,,
28,6,0.26149999999999984,2
27,13,0.8307500000000005,8
26,6,2.702,1
25,63,2.3048000000000006,15
24,4,,
23,3,,
19,1,,
16,1,,
