Iteration,SampleCount,S_MAG,S_MAG_Weight
56,53,1.9735784313725486,51
55,141,1.1974494093477142,132
54,80,1.4137263559322033,48
53,33,1.3572205027897675,23
52,28,1.0871384111993854,15
51,115,,
50,82,3.737627834000355,60
49,141,3.6784210043326424,131
48,139,3.3126144811632727,125
47,216,2.7508162808407755,193
46,177,2.3004431228659876,157
45,55,3.1583672348444893,40
44,1210,,
43,144,1.501440619770916,11
42,597,,
41,82,4.109913070191329,4
39,4,0.8039298473114371,3
38,1,,
37,7,,
36,24,,
35,7,4.047508594541051,3
34,11,,
33,15,5.598656311911494,12
32,13,2.6129999999999995,10
31,53,3.1284247105721223,49
30,10,2.6555,4
29,7,,
28,6,1.687153872507949,2
27,13,1.2166166554422286,8
26,6,1.735372771895877,1
25,65,1.5441974035469457,17
24,2,,
23,3,,
19,1,,
16,1,,
