Iteration,SampleCount,S_MAG,S_MAG_Weight
56,49,1.959126086956522,46
55,158,1.2295570987654323,144
54,64,1.4449153960993588,44
53,38,1.2273292819959687,24
52,26,1.108034281062635,14
51,111,1.4950236133530908,110
50,90,3.815496143773602,63
49,127,3.5816290429511595,120
48,158,3.219939903446738,133
47,210,2.72790875137711,195
46,173,2.2500246558758525,155
45,52,3.0964424150271164,35
44,1214,3.205634479281125,1209
43,145,1.5033105955791763,11
42,608,,
41,70,4.132337912802596,3
40,2,2.3885789638218817,1
39,3,,
38,1,,
37,5,,
36,27,1.7121266360674634,25
35,6,4.070436225222701,3
34,11,,
33,17,5.254909948111723,14
32,8,3.2094659449941147,7
31,57,3.063699329370333,50
30,9,2.6555,4
29,9,,
28,4,1.664775173203596,2
27,11,1.3004586397804616,6
26,8,1.7124646146540012,1
25,64,1.6301039706392375,16
24,3,,
23,3,,
19,1,,
16,1,,
