Iteration,SampleCount,S_MAG,S_MAG_Weight
56,53,2.471988273101787,51
55,145,1.8367449957934918,136
54,71,2.797931130192156,43
53,37,2.828465215741994,22
52,28,3.2689597506086736,14
51,107,3.3976879472085884,106
50,94,2885370456.4626126,63
49,140,23.35023692544307,133
48,139,28.585151403468146,127
47,211,13.448078353607649,190
46,177,21.45987587333792,154
45,55,14.898972815044093,37
44,1200,3.735600029256479,1197
43,156,1.6454228000507876,10
42,618,4.52340110118431,617
41,62,1.0018635054662752,4
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,4.408328685725005,3
34,12,,
33,17,6.160539472582773,15
32,10,,
31,55,3.512497271549053,51
30,8,2.085334698331928,4
29,6,,
28,7,2.940684313500312,2
27,13,3.3478423252476848,8
26,6,0.9740593423475445,1
25,67,0.9938646130045277,19
23,3,,
19,1,,
16,1,,
