Iteration,SampleCount,S_MAG,S_MAG_Weight
56,54,1.9394305303179449,51
55,148,1.297490164379809,139
54,69,1.3155734451711296,44
53,35,1.4712857122179064,21
52,27,1.2338244305108568,12
51,124,1.2849405332877926,121
50,77,3.694840964569948,61
49,141,2.0885231559032618,132
48,140,2.004147534004725,127
47,216,1.5446913318198054,195
46,172,1.4538899885951984,154
45,53,1.6803874335229187,35
44,1205,1.4634749097254385,1200
43,153,0.9675023212418914,10
42,601,1.077017834561611,600
41,78,2.109828069005425,3
40,2,2.9125879472631695,1
39,3,,
38,1,,
37,7,,
36,25,,
35,6,1.4222540232547338,3
34,11,,
33,18,2.2902165461926596,15
32,12,,
31,52,1.2879040108357924,50
30,9,2.5048444552480995,4
29,9,,
28,4,1.2325231161896655,2
27,11,0.9123386792454861,6
26,7,,
25,67,2.3618699193521535,18
24,1,,
23,3,,
19,1,,
16,1,,
